corpus,topic_id,avg_coherence,avg_relevance,avg_coverage,num_clusters,topic_entropy,topic_entropy_normalized,topic_concentration_gini,topic_concentration_top10,topic_n_docs,topic_mean_prob,cluster_mean_overlap,cluster_max_overlap,cluster_n_pairs,quality_score
bbc,0,4.0,3.5,3.5,2,8.227312088012695,0.9144323624358002,-0.5503043531817351,0.41794925928115845,511,0.001956947147846222,0.0,0.0,1,3.6666666666666665
bbc,1,4.0,3.6,3.6,5,9.42194938659668,0.9433964472359487,-0.4722423685887882,0.3644701838493347,1015,0.000985221704468131,0.015384615384615385,0.15384615384615385,10,3.733333333333333
bbc,2,4.0,4.416666666666667,3.4166666666666665,12,9.867204666137695,0.9416377136299077,-0.5068333852635218,0.31802842020988464,1427,0.000700770819094032,0.014172569854388037,0.2,66,3.9444444444444446
bbc,3,4.0,4.384615384615385,3.769230769230769,13,9.33471393585205,0.9556242619393062,-0.42811119422844757,0.29603031277656555,872,0.0011467889416962862,0.019635919635919638,0.2222222222222222,66,4.051282051282051
bbc,4,4.0,4.0,3.5,2,10.05008316040039,0.9576199576535316,-0.4363617644876757,0.27137330174446106,1443,0.0006930006784386933,0.0,0.0,1,3.8333333333333335
bbc,5,4.0,4.0,3.5,2,10.17972183227539,0.9698801866258686,-0.3615067080671228,0.21156352758407593,1444,0.0006925207562744617,0.0,0.0,1,3.8333333333333335
bbc,6,4.0,4.375,3.25,8,9.547033309936523,0.9432398058634807,-0.4914844679648599,0.32460296154022217,1114,0.000897666031960398,0.029506802721088434,0.14285714285714285,28,3.875
reuters_activities,0,4.0,4.555555555555555,3.2222222222222223,9,8.485270500183105,0.9498057217236916,-0.4207570156251421,0.20362424850463867,489,0.002044989727437496,0.01427469135802469,0.125,36,3.925925925925926
reuters_activities,1,4.0,4.285714285714286,3.142857142857143,7,7.420701503753662,0.9262877293525993,-0.4878348349758276,0.24423116445541382,258,0.0038759689778089523,0.0567305710162853,0.2,21,3.809523809523809
reuters_activities,2,4.0,4.5,3.1666666666666665,6,9.51002311706543,0.9524864323652686,-0.44021565850822364,0.22248515486717224,1013,0.0009871668880805373,0.02707070707070707,0.09090909090909091,15,3.888888888888889
reuters_activities,3,4.0,3.857142857142857,3.7142857142857144,7,8.942340850830078,0.9538456788704215,-0.39105747597111495,0.17917367815971375,664,0.0015060240402817726,0.005952380952380952,0.125,21,3.8571428571428577
reuters_activities,4,4.0,3.3333333333333335,3.6666666666666665,3,8.96935749053955,0.9621783604465712,-0.36698743007121937,0.1829206943511963,640,0.0015625000232830644,0.0,0.0,3,3.6666666666666665
reuters_activities,5,4.0,3.75,3.5,4,9.202381134033203,0.954222144435375,-0.42993806473205043,0.22925995290279388,800,0.0012499999720603228,0.0,0.0,6,3.75
reuters_activities,6,4.0,4.5,3.25,4,9.134060859680176,0.9610930494193222,-0.3822450147886378,0.19310733675956726,726,0.0013774106046184897,0.010416666666666666,0.0625,6,3.9166666666666665
reuters_activities,7,4.0,4.0,3.5,4,8.153191566467285,0.9330631131172551,-0.4953200393943571,0.2956474721431732,427,0.0023419202771037817,0.013888888888888888,0.08333333333333333,6,3.8333333333333335
amazon,0,4.0,3.0,4.0,2,10.865345001220703,0.9487100723771015,-0.42335873447756467,0.18230654299259186,2803,0.00035676060360856354,0.0,0.0,1,3.6666666666666665
amazon,1,4.0,3.0,4.0,2,10.85373306274414,0.9419933411264487,-0.46267585837531966,0.1978278011083603,2941,0.00034002040047198534,0.0,0.0,1,3.6666666666666665
